id,uin,name,email,mobile,status_code,lang_code,last_login_method,is_active,cr_by,cr_dtimes
110030,9317596768,Jane Smith,jane.smith@xyz.com,818876432,ACT,fra,PWD,TRUE,superadmin,now()
110031,9317596767,John Doe,john.doe@xyz.com,818876431,ACT,fra,PWD,TRUE,superadmin,now()
110032,9317596770,Sravan Kalla,ewan.marsh@xyz.com,818876433,ACT,fra,PWD,TRUE,superadmin,now()
110033,9317596771,Nikola Tesla,nikola.tesla@xyz.com,818876434,ACT,fra,PWD,TRUE,superadmin,now()
110034,9317596772,Graham Bell,graham.bell@xyz.com,818876435,ACT,fra,PWD,TRUE,superadmin,now()
110035,9317596773,Albert Miles,albert.miles@xyz.com,818876436,ACT,fra,PWD,TRUE,superadmin,now()
110036,9317596774,Krishnan,krish@mosip.io,818876437,ACT,fra,PWD,TRUE,superadmin,now()
110037,9317596775,Sayeri Mishra,elvis.ibarra@xyz.com,818876438,ACT,fra,PWD,TRUE,superadmin,now()
110038,9317596776,Rounak Nayak,rounak.nayak@mindtree.com,8763740607,ACT,fra,PWD,TRUE,superadmin,now()
110039,9317596777,Girish Yarru,Girish@xyz.com,818876440,ACT,fra,PWD,TRUE,superadmin,now()
110040,9317596778,Shekhar Suman,Shekhar@xyz.com,818876441,ACT,fra,PWD,TRUE,superadmin,now()
110041,9317596779,Nagalakshmi Nithyanandan,Nagalakshmi@xyz.com,818876442,ACT,fra,PWD,TRUE,superadmin,now()
110042,9317596780,Sowmya Ujjappa Banakar,Sowmya@xyz.com,818876443,ACT,fra,PWD,TRUE,superadmin,now()
110043,9317596781,Horteppa Pujari,Horteppa@xyz.com,818876444,ACT,fra,PWD,TRUE,superadmin,now()
110044,9317596782,Rishabh Keshari,Rishabh@xyz.com,818876445,ACT,fra,PWD,TRUE,superadmin,now()
110045,9317596783,Jyoti Prakash Nayak,Jyoti@xyz.com,818876446,ACT,fra,PWD,TRUE,superadmin,now()
110046,9317596784,Mukul Puspam,Mukul@xyz.com,818876447,ACT,fra,PWD,TRUE,superadmin,now()
110047,9317596785,Pranav Kumar,Pranav@xyz.com,818876448,ACT,fra,PWD,TRUE,superadmin,now()
110048,9317596786,Sanjay Shivaji Zende,Sanjay@xyz.com,818876449,ACT,fra,PWD,TRUE,superadmin,now()
110049,9317596787,Monobikash Das,Monobikash@xyz.com,818876450,ACT,fra,PWD,TRUE,superadmin,now()
110050,9317596788,Riju Pragyna Jain,Riju@xyz.com,818876451,ACT,fra,PWD,TRUE,superadmin,now()
110051,9317596789,Ayush Keer,Ayush@xyz.com,818876452,ACT,fra,PWD,TRUE,superadmin,now()
110052,9317596790,Karthik Ramanan,Karthik@xyz.com,818876453,ACT,fra,PWD,TRUE,superadmin,now()
110053,9317596791,Anand,Anand@xyz.com,818876454,ACT,fra,PWD,TRUE,superadmin,now()
110054,9317596792,Technoforte User,technoforte@xyz.com,818876455,ACT,fra,PWD,TRUE,superadmin,now()
110055,9317596793,Ranjitha Siddegowda,Ranjitha@xyz.com,818876456,ACT,fra,PWD,TRUE,superadmin,now()
110056,9317596794,Alok Ranjan,Alok@xyz.com,818876457,ACT,fra,PWD,TRUE,superadmin,now()
110057,9317596795,Sudheer Murthy,Sudheer@xyz.com,818876458,ACT,fra,PWD,TRUE,superadmin,now()
110058,9317596796,Taleev,Taleev@xyz.com,818876459,ACT,fra,PWD,TRUE,superadmin,now()
110059,9317596797,Brahma,Brahma@xyz.com,818876460,ACT,fra,PWD,TRUE,superadmin,now()
110060,9317596798,Rishabh Keshari,Rishabh@xyz.com,818876461,ACT,fra,PWD,TRUE,superadmin,now()
110061,9317596799,Kiranraj,Kiranraj@xyz.com,818876462,ACT,fra,PWD,TRUE,superadmin,now()
110062,9317596800,Dummy User,Dummy@xyz.com,818876463,ACT,fra,PWD,TRUE,superadmin,now()
110063,9317596801,Dummy User,Dummy@xyz.com,818876464,ACT,fra,PWD,TRUE,superadmin,now()
110064,9317596802,Dummy User,Dummy@xyz.com,818876465,ACT,fra,PWD,TRUE,superadmin,now()
110065,9317596803,Dummy User,Dummy@xyz.com,818876466,ACT,fra,PWD,TRUE,superadmin,now()
110066,9317596804,Dummy User,Dummy@xyz.com,818876467,ACT,fra,PWD,TRUE,superadmin,now()
110067,9317596805,Dummy User,Dummy@xyz.com,818876468,ACT,fra,PWD,TRUE,superadmin,now()
110068,9317596806,Dummy User,Dummy@xyz.com,818876469,ACT,fra,PWD,TRUE,superadmin,now()
110069,9317596807,Dummy User,Dummy@xyz.com,818876470,ACT,fra,PWD,TRUE,superadmin,now()
110070,9317596808,Dummy User,Dummy@xyz.com,818876471,ACT,fra,PWD,TRUE,superadmin,now()
110071,9317596809,Dummy User,Dummy@xyz.com,818876472,ACT,fra,PWD,TRUE,superadmin,now()
110072,9317596810,Dummy User,Dummy@xyz.com,818876473,ACT,fra,PWD,TRUE,superadmin,now()
110073,9317596811,Dummy User,Dummy@xyz.com,818876474,ACT,fra,PWD,TRUE,superadmin,now()
110074,9317596812,Dummy User,Dummy@xyz.com,818876475,ACT,fra,PWD,TRUE,superadmin,now()
110075,9317596813,Dummy User,Dummy@xyz.com,818876476,ACT,fra,PWD,TRUE,superadmin,now()
110076,9317596814,Dummy User,Dummy@xyz.com,818876477,ACT,fra,PWD,TRUE,superadmin,now()
110077,9317596815,Dummy User,Dummy@xyz.com,818876478,ACT,fra,PWD,TRUE,superadmin,now()
110078,9317596816,Dummy User,Dummy@xyz.com,818876479,ACT,fra,PWD,TRUE,superadmin,now()
110079,9317596817,Dummy User,Dummy@xyz.com,818876480,ACT,fra,PWD,TRUE,superadmin,now()
110080,9317596818,Dummy User,Dummy@xyz.com,818876481,ACT,fra,PWD,TRUE,superadmin,now()
110081,9317596819,Dummy User,Dummy@xyz.com,818876482,ACT,fra,PWD,TRUE,superadmin,now()
110082,9317596820,Dummy User,Dummy@xyz.com,818876483,ACT,fra,PWD,TRUE,superadmin,now()
110083,9317596821,Dummy User,Dummy@xyz.com,818876484,ACT,fra,PWD,TRUE,superadmin,now()
110084,9317596822,Dummy User,Dummy@xyz.com,818876485,ACT,fra,PWD,TRUE,superadmin,now()
110085,9317596823,Dummy User,Dummy@xyz.com,818876486,ACT,fra,PWD,TRUE,superadmin,now()
110086,9317596824,Dummy User,Dummy@xyz.com,818876487,ACT,fra,PWD,TRUE,superadmin,now()
110087,9317596825,Dummy User,Dummy@xyz.com,818876488,ACT,fra,PWD,TRUE,superadmin,now()
110088,9317596826,Dummy User,Dummy@xyz.com,818876489,ACT,fra,PWD,TRUE,superadmin,now()
110089,9317596827,Dummy User,Dummy@xyz.com,818876490,ACT,fra,PWD,TRUE,superadmin,now()
110090,9317596828,Dummy User,Dummy@xyz.com,818876491,ACT,fra,PWD,TRUE,superadmin,now()
110091,9317596829,Dummy User,Dummy@xyz.com,818876492,ACT,fra,PWD,TRUE,superadmin,now()
110092,9317596830,Dummy User,Dummy@xyz.com,818876493,ACT,fra,PWD,TRUE,superadmin,now()
110093,9317596831,Dummy User,Dummy@xyz.com,818876494,ACT,fra,PWD,TRUE,superadmin,now()
110094,9317596832,Dummy User,Dummy@xyz.com,818876495,ACT,fra,PWD,TRUE,superadmin,now()
110095,9317596833,Dummy User,Dummy@xyz.com,818876496,ACT,fra,PWD,TRUE,superadmin,now()
110096,9317596834,Dummy User,Dummy@xyz.com,818876497,ACT,fra,PWD,TRUE,superadmin,now()
110097,9317596835,Dummy User,Dummy@xyz.com,818876498,ACT,fra,PWD,TRUE,superadmin,now()
110098,9317596836,Dummy User,Dummy@xyz.com,818876499,ACT,fra,PWD,TRUE,superadmin,now()
110099,9317596837,Dummy User,Dummy@xyz.com,818876500,ACT,fra,PWD,TRUE,superadmin,now()
110100,9317596838,Dummy User,Dummy@xyz.com,818876501,ACT,fra,PWD,TRUE,superadmin,now()
110101,9317596839,Dummy User,Dummy@xyz.com,818876502,ACT,fra,PWD,TRUE,superadmin,now()
